outfall_structure,waterway_reach,open_timestamp,close_timestamp,river_segment_id
DS-M66,NBCR Lower (NSC Confluence),2013-04-18 17:06:00,2013-04-18 21:38:00,3
DS-M79,NBCR Lower (NSC Confluence),2013-04-18 17:07:00,2013-04-18 21:44:00,3
DS-M20,CSSC Upper (SWRP),2013-04-18 17:10:00,2013-04-18 17:15:00,8
DS-M104E,NSC Upper (NSWRP),2013-04-18 17:10:00,2013-04-18 17:15:00,1
DS-M25,SB Chicago R,2013-04-18 17:21:00,2013-04-18 18:14:00,6
DS-M104E,NSC Upper (NSWRP),2013-04-18 17:22:00,2013-04-18 17:29:00,1
DS-M20,CSSC Upper (SWRP),2013-04-18 17:37:00,2013-04-18 17:48:00,8
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-18 17:38:00,2013-04-18 17:50:00,3
DS-M10,CSSC Lower (SWRP),2013-04-18 17:59:00,2013-04-18 21:54:00,9
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 17:59:00,2013-04-18 18:05:00,3
DS-M20,CSSC Upper (SWRP),2013-04-18 18:09:00,2013-04-18 18:12:00,8
DS-M25,SB Chicago R,2013-04-18 18:30:00,2013-04-18 19:10:00,6
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 18:45:00,2013-04-18 19:09:00,3
Wilmette,,2013-04-18 18:50:00,2013-04-18 23:59:00,
DS-M88,NBCR Lower (NSC Confluence),2013-04-18 18:55:00,2013-04-18 20:30:00,3
DS-M104E,NSC Upper (NSWRP),2013-04-18 19:03:00,2013-04-18 19:20:00,1
DS-M25,SB Chicago R,2013-04-18 19:15:00,2013-04-18 19:33:00,6
DS-M104E,NSC Upper (NSWRP),2013-04-18 19:32:00,2013-04-18 19:36:00,1
DS-M25,SB Chicago R,2013-04-18 19:55:00,2013-04-18 21:30:00,6
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 19:56:00,2013-04-18 20:24:00,3
DS-M104E,NSC Upper (NSWRP),2013-04-18 19:59:00,2013-04-18 20:03:00,1
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 20:30:00,2013-04-18 20:49:00,3
DS-M101,NSC Upper (NSWRP),2013-04-18 20:38:00,2013-04-18 20:46:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-18 20:51:00,2013-04-18 21:00:00,1
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 21:15:00,2013-04-18 21:35:00,3
DS-M104E,NSC Upper (NSWRP),2013-04-18 21:23:00,2013-04-18 21:29:00,1
DS-M88,NBCR Lower (NSC Confluence),2013-04-18 21:25:00,2013-04-18 21:46:00,3
TG-M16,CSSC Upper (SWRP),2013-04-18 21:30:00,2013-04-18 21:43:00,8
DS-M73,NBCR Lower (NSC Confluence),2013-04-18 21:39:00,2013-04-18 21:42:00,3
DS-M66,NBCR Lower (NSC Confluence),2013-04-18 21:45:00,2013-04-18 22:20:00,3
DS-M79,NBCR Lower (NSC Confluence),2013-04-18 21:54:00,2013-04-18 22:28:00,3
DS-M25,SB Chicago R,2013-04-18 21:55:00,2013-04-18 22:03:00,6
DS-M101,NSC Upper (NSWRP),2013-04-18 22:20:00,2013-04-18 22:27:00,1
TGNASH,CSSC Upper (SWRP),2013-04-18 22:35:00,2013-04-18 22:40:00,8
DS-M79,NBCR Lower (NSC Confluence),2013-04-18 22:59:00,2013-04-18 23:07:00,3
DS-M08,CSSC Lower (SWRP),2013-04-18 23:01:00,2013-04-18 23:40:00,9
DS-M08,CSSC Lower (SWRP),2013-04-18 23:54:00,2013-04-18 23:59:00,9
UDP-DS3 (K11),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
Obrien,,2013-04-19 00:00:00,2013-04-19 05:15:00,
UDP-DS1 (K1),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
DS-N10A,NBCR Upper (NSC Confluence),2013-04-19 00:00:00,2013-04-19 02:34:00,4
DS-M106E,NSC Upper (NSWRP),2013-04-19 00:00:00,2013-04-19 06:58:00,1
UDP-DS1A (K1A),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
UDP-DS1 (K2-1&K2-2),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
UDP-DS3 (K14),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
Indirect (UDP-DS5) (K27),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
DS-N10B,NBCR Upper (NSC Confluence),2013-04-19 00:00:00,2013-04-19 02:05:00,4
DS-D49,DesPlaines Lower,2013-04-19 00:00:00,2013-04-19 23:59:00,15
UDP-DS6 (K22),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
UDP-DS8 (K26),Weller Cr,2013-04-19 00:00:00,2013-04-20 00:00:00,12
Wilmette,,2013-04-19 00:00:00,2013-04-19 06:45:00,
WCPS (DS-D34-AI),Addison Cr,2013-04-19 00:00:00,2013-04-19 23:59:00,23
DS-M15,CSSC Upper (SWRP),2013-04-19 00:00:00,2013-04-19 23:59:00,8
DS-D35,DesPlaines Middle,2013-04-19 00:00:00,2013-04-19 00:32:00,14
DS-D52,DesPlaines Middle,2013-04-19 00:00:00,2013-04-19 00:37:00,14
DS-D09,DesPlaines Middle,2013-04-19 00:00:00,2013-04-19 05:29:00,14
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-19 00:00:00,2013-04-19 13:30:00,3
"DS-D44,45",DesPlaines Lower,2013-04-19 00:00:00,2013-04-19 23:59:00,15
DS-D13,DesPlaines Middle,2013-04-19 00:00:00,2013-04-19 07:32:00,14
DS-M03,CSSC Lower (SWRP),2013-04-19 00:00:00,2013-04-19 09:04:00,9
"DS-D47,50,51",Salt Cr,2013-04-19 00:00:00,2013-04-19 23:59:00,16
CRCW,,2013-04-19 00:00:00,2013-04-19 02:06:00,
DS-M109 N,NSC Upper (NSWRP),2013-04-19 00:00:00,2013-04-19 23:59:00,1
DS-M105W,NSC Upper (NSWRP),2013-04-19 00:00:00,2013-04-19 07:00:00,1
"DS-D39,42,46",Salt Cr,2013-04-19 00:00:00,2013-04-19 21:15:00,16
DS-N08,NBCR Upper (NSC Confluence),2013-04-19 00:00:00,2013-04-19 23:35:00,4
DS-D41,DesPlaines Lower,2013-04-19 00:00:00,2013-04-19 23:59:00,15
DS-M08,CSSC Lower (SWRP),2013-04-19 00:00:00,2013-04-19 00:02:00,9
"RAPS (DS-M27, DS-M28, DS-M29)",SF SB Chicago R,2013-04-19 00:00:00,2013-04-19 23:20:00,7
"DS-D37,38",Salt Cr,2013-04-19 00:00:00,2013-04-19 23:59:00,16
CDS-22,Grand Cal R,2013-04-19 00:01:00,2013-04-19 09:28:00,18
CDS-20,Little Cal R (North),2013-04-19 00:01:00,2013-04-19 23:39:00,19
PULASKI RD PS (18E-PS),Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 23:59:00,21
125TH ST PS (CDS-13),Little Cal R (North),2013-04-19 00:01:00,2013-04-19 23:59:00,19
002 Lemont WRP,CSSC Lower (SWRP),2013-04-19 00:01:00,2013-04-19 10:00:00,9
CDS-8,Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 09:28:00,21
CDS-21,Grand Cal R,2013-04-19 00:01:00,2013-04-19 23:59:00,18
CDS-20,Little Cal R (North),2013-04-19 00:01:00,2013-04-19 23:59:00,19
CDS-20,Little Cal R (North),2013-04-19 00:01:00,2013-04-19 23:39:00,19
CDS-23,Grand Cal R,2013-04-19 00:01:00,2013-04-19 11:44:00,18
95TH ST PS (CDS-34),Cal R,2013-04-19 00:01:00,2013-04-19 00:25:00,17
CDS-4,Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 23:59:00,21
CDS-18,Little Cal R (North),2013-04-19 00:01:00,2013-04-19 09:11:00,19
CDS-2,Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 23:59:00,21
CDS-55,Little Cal R (South),2013-04-19 00:01:00,2013-04-19 23:59:00,20
CDS-11,Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 04:28:00,21
CDS-10,Cal Sag Ch,2013-04-19 00:01:00,2013-04-19 05:12:00,21
CDS-15-1,Little Cal R (North),2013-04-19 00:01:00,2013-04-19 09:05:00,19
DS-M101,NSC Upper (NSWRP),2013-04-19 00:04:00,2013-04-19 00:20:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-19 01:26:00,2013-04-19 01:31:00,1
DS-M101,NSC Upper (NSWRP),2013-04-19 03:10:00,2013-04-19 03:16:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-19 03:28:00,2013-04-19 03:33:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-19 03:36:00,2013-04-19 03:44:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-19 06:42:00,2013-04-19 06:48:00,1
DS-M106E,NSC Upper (NSWRP),2013-04-19 07:19:00,2013-04-19 23:59:00,1
UDP-DS1 (K2-1&K2-2),Weller Cr,2013-04-20 00:00:00,2013-04-20 20:10:00,12
DS-M106E,NSC Upper (NSWRP),2013-04-20 00:00:00,2013-04-20 23:59:00,1
"DS-D37,38",Salt Cr,2013-04-20 00:00:00,2013-04-20 07:10:00,16
"DS-D47,50,51",Salt Cr,2013-04-20 00:00:00,2013-04-20 23:59:00,16
UDP-DS3 (K14),Weller Cr,2013-04-20 00:00:00,2013-04-20 18:56:00,12
DS-D49,DesPlaines Lower,2013-04-20 00:00:00,2013-04-20 23:59:00,15
DS-M109 N,NSC Upper (NSWRP),2013-04-20 00:00:00,2013-04-20 07:59:00,1
"DS-D44,45",DesPlaines Lower,2013-04-20 00:00:00,2013-04-20 21:40:00,15
UDP-DS1A (K1A),Weller Cr,2013-04-20 00:00:00,2013-04-21 00:00:00,12
DS-D41,DesPlaines Lower,2013-04-20 00:00:00,2013-04-20 18:29:00,15
UDP-DS1 (K1),Weller Cr,2013-04-20 00:00:00,2013-04-21 00:00:00,12
Indirect (UDP-DS5) (K27),Weller Cr,2013-04-20 00:00:00,2013-04-21 00:00:00,12
UDP-DS6 (K22),Weller Cr,2013-04-20 00:00:00,2013-04-20 22:47:00,12
UDP-DS8 (K26),Weller Cr,2013-04-20 00:00:00,2013-04-20 22:47:00,12
WCPS (DS-D34-AI),Addison Cr,2013-04-20 00:00:00,2013-04-20 17:00:00,23
DS-M15,CSSC Upper (SWRP),2013-04-20 00:00:00,2013-04-20 23:59:00,8
UDP-DS3 (K11),Weller Cr,2013-04-20 00:00:00,2013-04-21 00:00:00,12
CDS-20,Little Cal R (North),2013-04-20 00:01:00,2013-04-20 08:45:00,19
CDS-21,Grand Cal R,2013-04-20 00:01:00,2013-04-20 23:59:00,18
CDS-4,Cal Sag Ch,2013-04-20 00:01:00,2013-04-20 21:30:00,21
CDS-2,Cal Sag Ch,2013-04-20 00:01:00,2013-04-20 21:30:00,21
CDS-55,Little Cal R (South),2013-04-20 00:01:00,2013-04-20 23:59:00,20
PULASKI RD PS (18E-PS),Cal Sag Ch,2013-04-20 00:01:00,2013-04-20 21:30:00,21
125TH ST PS (CDS-13),Little Cal R (North),2013-04-20 00:01:00,2013-04-20 06:39:00,19
"DS-D37,38",Salt Cr,2013-04-20 07:15:00,2013-04-20 08:00:00,16
"DS-D37,38",Salt Cr,2013-04-20 08:10:00,2013-04-20 09:57:00,16
DS-M109 N,NSC Upper (NSWRP),2013-04-20 09:04:00,2013-04-20 19:48:00,1
"DS-D37,38",Salt Cr,2013-04-20 10:12:00,2013-04-20 10:16:00,16
"DS-D37,38",Salt Cr,2013-04-20 10:32:00,2013-04-20 10:35:00,16
"DS-D37,38",Salt Cr,2013-04-20 10:47:00,2013-04-20 10:50:00,16
